State,Site_Name,Category,Year_Built,Visitors_Per_Year,Popularity,Best_Month_To_Visit,UNESCO_World_Heritage,District,Nearest_City,Latitude,Longitude,Entry_Fee_INR,Description,Festival,Famous_Art,Art_Description
Tamil Nadu,Brihadeeswarar Temple,Fort,514,982460,Medium,January to March,No,Chennai,Chennai,10.7828,79.1316,459,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Tamil Nadu,Brihadeeswarar Temple,Temple,1341,659634,Medium,October to December,No,Chennai,Chennai,10.7828,79.1316,327,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Rajasthan,Amber Fort,Fort,1068,1934037,High,May to July,No,Jaipur,Jaipur,26.9855,75.85,447,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Delhi,Qutub Minar,Temple,1516,1777828,High,May to July,Yes,New Delhi,Delhi,28.5244,77.1855,249,An ancient structure that reflects traditional craftsmanship.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Uttar Pradesh,Taj Mahal,Museum,1134,377298,Medium,January to March,Yes,Agra,Agra,27.1751,78.0421,184,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Rajasthan,Amber Fort,Museum,1001,1047208,High,June to August,No,Jaipur,Jaipur,26.9855,75.85,434,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Karnataka,Mysore Palace,Temple,1888,1983042,High,March to May,No,Mysuru,Mysuru,12.3052,76.6552,158,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Rajasthan,Amber Fort,Fort,1068,1934037,High,May to July,No,Jaipur,Jaipur,26.9855,75.85,447,A popular tourist destination and UNESCO site.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Uttar Pradesh,Taj Mahal,Temple,1827,183102,Medium,December to February,No,Agra,Agra,27.1751,78.0421,209,A historic site known for its architectural beauty.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Delhi,Qutub Minar,Temple,1703,1622115,High,December to February,Yes,New Delhi,Delhi,28.5244,77.1855,465,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Tamil Nadu,Brihadeeswarar Temple,Fort,1242,647771,Medium,November to January,Yes,Chennai,Chennai,10.7828,79.1316,465,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Uttar Pradesh,Taj Mahal,Temple,1779,853833,Medium,March to May,No,Agra,Agra,27.1751,78.0421,327,A historic site known for its architectural beauty.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Fort,1242,647771,Medium,November to January,Yes,Chennai,Chennai,10.7828,79.1316,465,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
West Bengal,Victoria Memorial,Temple,1035,1899946,High,February to April,Yes,Kolkata,Kolkata,22.5448,88.3426,250,A cultural landmark with centuries-old heritage.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Madhya Pradesh,Gwalior Fort,Monument,1833,69881,Low,June to August,Yes,Gwalior,Gwalior,26.215,78.193,169,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Karnataka,Mysore Palace,Museum,1529,596741,Medium,July to September,No,Mysuru,Mysuru,12.3052,76.6552,410,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Odisha,Konark Sun Temple,Monument,1504,1118468,High,April to June,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,88,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Tamil Nadu,Brihadeeswarar Temple,Monument,1065,1955982,High,June to August,No,Chennai,Chennai,10.7828,79.1316,219,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Odisha,Konark Sun Temple,Fort,1400,236045,Medium,September to November,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,485,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Tamil Nadu,Brihadeeswarar Temple,Temple,982,1951356,High,February to April,No,Chennai,Chennai,10.7828,79.1316,443,An ancient structure that reflects traditional craftsmanship.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Museum,1098,938875,Medium,October to December,No,Mumbai,Mumbai,20.5526,75.7033,230,A cultural landmark with centuries-old heritage.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Odisha,Konark Sun Temple,Museum,1576,954312,Medium,May to July,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,208,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
West Bengal,Victoria Memorial,Museum,1359,1230746,High,December to February,Yes,Kolkata,Kolkata,22.5448,88.3426,158,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Gujarat,Rani ki Vav,Monument,504,332298,Medium,July to September,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,435,Famous for its intricate carvings and historical relevance.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Rajasthan,Amber Fort,Temple,1831,1357693,High,January to March,Yes,Jaipur,Jaipur,26.9855,75.85,338,Famous for its intricate carvings and historical relevance.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Monument,1533,1424826,High,June to August,Yes,Mumbai,Mumbai,20.5526,75.7033,429,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
West Bengal,Victoria Memorial,Fort,583,1099015,High,August to October,No,Kolkata,Kolkata,22.5448,88.3426,354,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Gujarat,Rani ki Vav,Museum,911,995024,Medium,May to July,No,Ahmedabad,Ahmedabad,23.8594,72.1343,6,A cultural landmark with centuries-old heritage.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Karnataka,Mysore Palace,Museum,1810,1676923,High,October to December,No,Mysuru,Mysuru,12.3052,76.6552,244,A popular tourist destination and UNESCO site.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Maharashtra,Ajanta Caves,Monument,1250,308481,Medium,August to October,No,Mumbai,Mumbai,20.5526,75.7033,446,A cultural landmark with centuries-old heritage.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Uttar Pradesh,Taj Mahal,Temple,1815,1483143,High,May to July,No,Agra,Agra,27.1751,78.0421,199,A historic site known for its architectural beauty.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Delhi,Qutub Minar,Temple,1165,1696920,High,December to February,No,New Delhi,Delhi,28.5244,77.1855,388,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Karnataka,Mysore Palace,Monument,1301,1244976,High,February to April,No,Mysuru,Mysuru,12.3052,76.6552,340,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Tamil Nadu,Brihadeeswarar Temple,Monument,1452,1024174,High,April to June,No,Chennai,Chennai,10.7828,79.1316,210,A popular tourist destination and UNESCO site.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
West Bengal,Victoria Memorial,Temple,1499,106059,Medium,December to February,Yes,Kolkata,Kolkata,22.5448,88.3426,257,A historic site known for its architectural beauty.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Madhya Pradesh,Gwalior Fort,Fort,1112,744161,Medium,August to October,No,Gwalior,Gwalior,26.215,78.193,81,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Rajasthan,Amber Fort,Fort,984,971799,Medium,September to November,No,Jaipur,Jaipur,26.9855,75.85,118,An ancient structure that reflects traditional craftsmanship.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Uttar Pradesh,Taj Mahal,Temple,1871,1285844,High,November to January,No,Agra,Agra,27.1751,78.0421,144,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Tamil Nadu,Brihadeeswarar Temple,Monument,1436,1414658,High,April to June,No,Chennai,Chennai,10.7828,79.1316,293,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
West Bengal,Victoria Memorial,Temple,1831,1313357,High,December to February,Yes,Kolkata,Kolkata,22.5448,88.3426,383,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Delhi,Qutub Minar,Fort,715,1025065,High,September to November,No,New Delhi,Delhi,28.5244,77.1855,47,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Karnataka,Mysore Palace,Fort,1920,1889258,High,February to April,Yes,Mysuru,Mysuru,12.3052,76.6552,92,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Gujarat,Rani ki Vav,Temple,995,1858774,High,February to April,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,412,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Delhi,Qutub Minar,Museum,986,1560571,High,October to December,Yes,New Delhi,Delhi,28.5244,77.1855,411,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Uttar Pradesh,Taj Mahal,Fort,570,1702401,High,May to July,Yes,Agra,Agra,27.1751,78.0421,22,Famous for its intricate carvings and historical relevance.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Gujarat,Rani ki Vav,Temple,1506,523265,Medium,December to February,No,Ahmedabad,Ahmedabad,23.8594,72.1343,260,A popular tourist destination and UNESCO site.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Karnataka,Mysore Palace,Monument,727,812985,Medium,November to January,Yes,Mysuru,Mysuru,12.3052,76.6552,267,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Madhya Pradesh,Gwalior Fort,Temple,974,1649108,High,June to August,Yes,Gwalior,Gwalior,26.215,78.193,377,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
West Bengal,Victoria Memorial,Monument,1014,1341566,High,May to July,No,Kolkata,Kolkata,22.5448,88.3426,318,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Delhi,Qutub Minar,Monument,1133,877481,Medium,October to December,Yes,New Delhi,Delhi,28.5244,77.1855,470,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Delhi,Qutub Minar,Monument,1322,1994023,High,January to March,No,New Delhi,Delhi,28.5244,77.1855,159,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Delhi,Qutub Minar,Monument,1004,1894618,High,June to August,Yes,New Delhi,Delhi,28.5244,77.1855,340,An ancient structure that reflects traditional craftsmanship.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Maharashtra,Ajanta Caves,Temple,647,615953,Medium,October to December,Yes,Mumbai,Mumbai,20.5526,75.7033,463,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Maharashtra,Ajanta Caves,Fort,1280,1930822,High,December to February,Yes,Mumbai,Mumbai,20.5526,75.7033,17,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Madhya Pradesh,Gwalior Fort,Monument,1062,873132,Medium,March to May,No,Gwalior,Gwalior,26.215,78.193,223,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Rajasthan,Amber Fort,Museum,1246,532473,Medium,April to June,No,Jaipur,Jaipur,26.9855,75.85,162,A historic site known for its architectural beauty.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Maharashtra,Ajanta Caves,Museum,1717,578735,Medium,November to January,No,Mumbai,Mumbai,20.5526,75.7033,184,A popular tourist destination and UNESCO site.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
West Bengal,Victoria Memorial,Fort,1561,991689,Medium,September to November,No,Kolkata,Kolkata,22.5448,88.3426,180,A popular tourist destination and UNESCO site.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
West Bengal,Victoria Memorial,Museum,1309,1389407,High,June to August,No,Kolkata,Kolkata,22.5448,88.3426,274,Famous for its intricate carvings and historical relevance.,Durga Puja,Kalighat Painting,"Bold, expressive paintings originated in 19th-century Kolkata."
Uttar Pradesh,Taj Mahal,Monument,970,1529332,High,April to June,Yes,Agra,Agra,27.1751,78.0421,262,A popular tourist destination and UNESCO site.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Rajasthan,Amber Fort,Fort,564,671985,Medium,February to April,No,Jaipur,Jaipur,26.9855,75.85,4,A cultural landmark with centuries-old heritage.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Gujarat,Rani ki Vav,Temple,995,1858774,High,February to April,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,412,An ancient structure that reflects traditional craftsmanship.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Maharashtra,Ajanta Caves,Fort,1768,824612,Medium,April to June,No,Mumbai,Mumbai,20.5526,75.7033,225,An ancient structure that reflects traditional craftsmanship.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Odisha,Konark Sun Temple,Fort,1599,603854,Medium,January to March,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,425,Famous for its intricate carvings and historical relevance.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Odisha,Konark Sun Temple,Museum,1167,992974,Medium,July to September,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,95,A popular tourist destination and UNESCO site.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Delhi,Qutub Minar,Temple,739,1048478,High,June to August,No,New Delhi,Delhi,28.5244,77.1855,85,A historic site known for its architectural beauty.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Madhya Pradesh,Gwalior Fort,Museum,1011,247963,Medium,July to September,No,Gwalior,Gwalior,26.215,78.193,167,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Karnataka,Mysore Palace,Temple,1206,1533997,High,October to December,No,Mysuru,Mysuru,12.3052,76.6552,473,A popular tourist destination and UNESCO site.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Karnataka,Mysore Palace,Monument,999,1751745,High,July to September,No,Mysuru,Mysuru,12.3052,76.6552,253,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Tamil Nadu,Brihadeeswarar Temple,Fort,573,1339978,High,December to February,Yes,Chennai,Chennai,10.7828,79.1316,245,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Rajasthan,Amber Fort,Monument,546,1774915,High,August to October,Yes,Jaipur,Jaipur,26.9855,75.85,389,A cultural landmark with centuries-old heritage.,Pushkar Camel Fair,Pichwai Painting,"Intricate paintings depicting tales of Lord Krishna, usually on cloth."
Odisha,Konark Sun Temple,Temple,1591,989051,Medium,October to December,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,305,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Gujarat,Rani ki Vav,Temple,1034,603951,Medium,August to October,No,Ahmedabad,Ahmedabad,23.8594,72.1343,342,A popular tourist destination and UNESCO site.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Delhi,Qutub Minar,Temple,1335,537898,Medium,September to November,Yes,New Delhi,Delhi,28.5244,77.1855,486,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Delhi,Qutub Minar,Monument,914,1728971,High,January to March,No,New Delhi,Delhi,28.5244,77.1855,370,A popular tourist destination and UNESCO site.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Uttar Pradesh,Taj Mahal,Temple,1871,1285844,High,November to January,No,Agra,Agra,27.1751,78.0421,144,A cultural landmark with centuries-old heritage.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
Odisha,Konark Sun Temple,Monument,921,1804028,High,November to January,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,186,Famous for its intricate carvings and historical relevance.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Tamil Nadu,Brihadeeswarar Temple,Temple,1373,1788163,High,October to December,Yes,Chennai,Chennai,10.7828,79.1316,176,Famous for its intricate carvings and historical relevance.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Delhi,Qutub Minar,Temple,1341,1662159,High,September to November,No,New Delhi,Delhi,28.5244,77.1855,58,A historic site known for its architectural beauty.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Odisha,Konark Sun Temple,Monument,1396,1020757,High,April to June,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,362,A historic site known for its architectural beauty.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Madhya Pradesh,Gwalior Fort,Fort,1777,1377358,High,February to April,No,Gwalior,Gwalior,26.215,78.193,457,An ancient structure that reflects traditional craftsmanship.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Odisha,Konark Sun Temple,Monument,1504,1118468,High,April to June,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,88,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Karnataka,Mysore Palace,Monument,1512,353241,Medium,August to October,Yes,Mysuru,Mysuru,12.3052,76.6552,447,An ancient structure that reflects traditional craftsmanship.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Tamil Nadu,Brihadeeswarar Temple,Monument,665,447009,Medium,June to August,No,Chennai,Chennai,10.7828,79.1316,54,A cultural landmark with centuries-old heritage.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Maharashtra,Ajanta Caves,Fort,1067,280201,Medium,January to March,No,Mumbai,Mumbai,20.5526,75.7033,484,A historic site known for its architectural beauty.,Ganesh Chaturthi,Warli Art,Tribal art form using geometric shapes to depict scenes of daily life.
Odisha,Konark Sun Temple,Temple,621,1707690,High,July to September,No,Bhubaneswar,Bhubaneswar,19.8876,86.0945,378,Famous for its intricate carvings and historical relevance.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Gujarat,Rani ki Vav,Museum,981,985273,Medium,March to May,Yes,Ahmedabad,Ahmedabad,23.8594,72.1343,78,A historic site known for its architectural beauty.,Navratri,Rogan Art,"Painted with castor oil-based paste, typically on fabric, from Kutch region."
Madhya Pradesh,Gwalior Fort,Museum,858,441211,Medium,October to December,No,Gwalior,Gwalior,26.215,78.193,57,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Madhya Pradesh,Gwalior Fort,Fort,1112,744161,Medium,August to October,No,Gwalior,Gwalior,26.215,78.193,81,A cultural landmark with centuries-old heritage.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Madhya Pradesh,Gwalior Fort,Museum,1011,247963,Medium,July to September,No,Gwalior,Gwalior,26.215,78.193,167,A historic site known for its architectural beauty.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Karnataka,Mysore Palace,Museum,1756,1485664,High,June to August,No,Mysuru,Mysuru,12.3052,76.6552,279,Famous for its intricate carvings and historical relevance.,Dasara,Mysore Painting,Classical South Indian painting known for elegance and attention to detail.
Delhi,Qutub Minar,Temple,1808,908626,Medium,June to August,No,New Delhi,Delhi,28.5244,77.1855,393,Famous for its intricate carvings and historical relevance.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Tamil Nadu,Brihadeeswarar Temple,Fort,711,995517,Medium,January to March,Yes,Chennai,Chennai,10.7828,79.1316,351,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Madhya Pradesh,Gwalior Fort,Museum,1585,872674,Medium,October to December,No,Gwalior,Gwalior,26.215,78.193,431,A popular tourist destination and UNESCO site.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Tamil Nadu,Brihadeeswarar Temple,Monument,882,1740554,High,December to February,No,Chennai,Chennai,10.7828,79.1316,365,An ancient structure that reflects traditional craftsmanship.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Delhi,Qutub Minar,Temple,1452,1097037,High,August to October,Yes,New Delhi,Delhi,28.5244,77.1855,128,A cultural landmark with centuries-old heritage.,Republic Day,Zardozi Embroidery,"Royal embroidery with gold and silver threads, pearls, and stones."
Odisha,Konark Sun Temple,Fort,1400,236045,Medium,September to November,Yes,Bhubaneswar,Bhubaneswar,19.8876,86.0945,485,A cultural landmark with centuries-old heritage.,Rath Yatra,Pattachitra,Traditional scroll painting on cloth depicting Hindu mythology.
Madhya Pradesh,Gwalior Fort,Museum,1628,643980,Medium,October to December,No,Gwalior,Gwalior,26.215,78.193,137,Famous for its intricate carvings and historical relevance.,Khajuraho Dance Festival,Gond Art,Folk art using dots and lines to create vibrant nature-inspired visuals.
Tamil Nadu,Brihadeeswarar Temple,Fort,1059,1692220,High,January to March,No,Chennai,Chennai,10.7828,79.1316,313,A historic site known for its architectural beauty.,Pongal,Tanjore Painting,"Richly colored paintings with gold foil, known for religious themes."
Uttar Pradesh,Taj Mahal,Temple,1898,650794,Medium,January to March,No,Agra,Agra,27.1751,78.0421,430,An ancient structure that reflects traditional craftsmanship.,Diwali,Chikankari Embroidery,Delicate hand embroidery from Lucknow on fine fabrics.
